기능 ID,사용 대상,대분류,대분류 코드,중분류,중분류 코드,소분류,소분류 코드,단위 프로세스명,세부 단위 프로세스명
NULLUS_ORG_000_010,관리자,조직,ORG,시스템 최초 설정,000,Default Organization 생성,010,Nullus 최초 기동 시 Default Organization 자동 생성,"기능: DB 마이그레이션/앱 기동 시 default org가 없으면 자동 생성
구현: Flyway/Liquibase init 스크립트 또는 ApplicationRunner에서 orgs 테이블 조회 후 insert
데이터/포맷: orgs { id, name, slug, domain, status, created_at } | slug: 'default' 고정"
NULLUS_ORG_000_020,관리자,조직,ORG,시스템 최초 설정,000,Default Admin 생성,020,Nullus 최초 기동 시 Default Admin 계정 자동 생성 및 지정,"기능: default org에 admin 역할 사용자 1명 자동 생성
구현: ApplicationRunner에서 users/org_members 확인 후 없으면 insert, bcrypt 패스워드
데이터/포맷: users { id, email, password_hash }; org_members { org_id, user_id, role } | role: admin"
NULLUS_ORG_010_010,관리자,조직,ORG,Organization 관리,010,Organization 등록,010,Organization 생성 (이름/슬러그/도메인 입력 후 DB 저장),"기능: 새 조직 생성, slug 유니크 검증
구현: POST /api/v1/orgs, slug 자동 생성 또는 입력, domain 검증(선택)
데이터/포맷: JSON { name, slug, domain? } → orgs 테이블 insert"
NULLUS_ORG_010_020,관리자,조직,ORG,Organization 관리,010,Organization 조회,020,Organization 상세 정보 조회,"기능: 단일 Organization 상세 조회
구현: GET /api/v1/orgs/:orgId, RBAC 체크
데이터/포맷: JSON { id, name, slug, domain, status, default_admin_id, created_at }"
NULLUS_ORG_010_030,관리자,조직,ORG,Organization 관리,010,Organization 수정,030,Organization 기본정보 수정 (이름/슬러그/도메인 변경),"기능: 조직 기본정보 변경
구현: PUT /api/v1/orgs/:orgId, slug 변경 시 유니크 재검증
데이터/포맷: JSON { name?, slug?, domain? } → orgs UPDATE"
NULLUS_ORG_010_040,관리자,조직,ORG,Organization 관리,010,Organization 삭제,040,Organization 삭제 또는 비활성화 후 완전 삭제,"기능: 조직 소프트삭제 또는 완전삭제
구현: DELETE /api/v1/orgs/:orgId, status=deleted 또는 CASCADE delete
데이터/포맷: orgs.status='deleted' 또는 DELETE FROM orgs WHERE id=?"
NULLUS_ORG_010_050,관리자,조직,ORG,Organization 관리,010,상태 전환,050,Organization 활성/비활성 상태 전환,"기능: 조직 활성/비활성 토글
구현: PUT /api/v1/orgs/:orgId/status { status: active|inactive }
데이터/포맷: orgs.status UPDATE"
NULLUS_ORG_010_060,관리자,조직,ORG,Organization 관리,010,관리자 지정,060,Organization 기본 관리자 계정 지정,"기능: 조직의 기본 관리자 지정
구현: PUT /api/v1/orgs/:orgId/default-admin { user_id }, org_members에서 admin 역할 부여
데이터/포맷: orgs.default_admin_id UPDATE; org_members INSERT/UPDATE"
NULLUS_ORG_010_070,관리자,조직,ORG,Organization 관리,010,관리자 변경,070,Organization 기본 관리자 계정 변경,"기능: 기본 관리자 변경
구현: PUT /api/v1/orgs/:orgId/default-admin { user_id }, 기존 해제 후 신규 지정
데이터/포맷: orgs.default_admin_id UPDATE"
NULLUS_ORG_020_010,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 조회,010,Organization별 접근 가능 클러스터 목록 조회,"기능: 조직이 접근 가능한 클러스터 목록 조회
구현: GET /api/v1/orgs/:orgId/accessible-clusters, org_cluster_access 조인
데이터/포맷: JSON [{ cluster_id, cluster_name, access_type }]"
NULLUS_ORG_020_020,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 설정,020,Organization에 클러스터 접근 권한 부여,"기능: 조직-클러스터 매핑 추가
구현: POST /api/v1/orgs/:orgId/cluster-access { cluster_id }, org_cluster_access INSERT
데이터/포맷: org_cluster_access { org_id, cluster_id, created_at }"
NULLUS_ORG_020_030,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 수정,030,Organization 클러스터 접근 권한 변경,"기능: 접근 범위 수정 (예: read→write)
구현: PUT /api/v1/orgs/:orgId/cluster-access/:clusterId { access_type }
데이터/포맷: org_cluster_access.access_type UPDATE"
NULLUS_ORG_020_040,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 해제,040,Organization 클러스터 접근 권한 제거,"기능: 조직-클러스터 접근 해제
구현: DELETE /api/v1/orgs/:orgId/cluster-access/:clusterId
데이터/포맷: org_cluster_access DELETE"
NULLUS_ORG_030_010,관리자,조직,ORG,멤버 관리,030,멤버 초대,010,Organization 멤버 초대,"기능: 초대 링크 생성 및 이메일 발송
구현: POST /api/v1/orgs/:orgId/invites { email, role }, token(UUID) 생성, invite_links 저장, SMTP 발송
데이터/포맷: invite_links { token, org_id, email, role, expires_at }; 링크: /invite?token=xxx"
NULLUS_ORG_030_030,관리자,조직,ORG,멤버 관리,030,멤버 목록 조회,030,Organization 멤버 목록 조회,"기능: 조직 멤버 목록 페이징 조회
구현: GET /api/v1/orgs/:orgId/members?page&size
데이터/포맷: JSON { items: [{ user_id, email, role, joined_at }], total }"
NULLUS_ORG_030_040,관리자,조직,ORG,멤버 관리,030,멤버 역할 수정,040,Organization 멤버 역할 변경 (관리자/데브옵스/개발자),"기능: 멤버 역할 변경
구현: PUT /api/v1/orgs/:orgId/members/:userId { role: admin|devops|developer }
데이터/포맷: org_members.role UPDATE"
NULLUS_ORG_030_050,관리자,조직,ORG,멤버 관리,030,멤버 비활성화,050,Organization 멤버 비활성화 (접근 차단),"기능: 멤버 비활성화(접근 차단)
구현: PUT /api/v1/orgs/:orgId/members/:userId/status { active: false }
데이터/포맷: org_members.is_active=false UPDATE"
NULLUS_ORG_030_060,관리자,조직,ORG,멤버 관리,030,멤버 제거,060,Organization 멤버 제거,"기능: 조직에서 멤버 제거
구현: DELETE /api/v1/orgs/:orgId/members/:userId
데이터/포맷: org_members DELETE"
NULLUS_CLU_040_020,관리자/데브옵스,클러스터,CLU,Organization 접근,040,접근 Organization 설정,020,클러스터별 접근 가능 Organization 설정,"기능: 클러스터에 접근 가능한 조직 설정
구현: POST /api/v1/clusters/:id/org-access { org_id }, cluster_org_access INSERT
데이터/포맷: cluster_org_access { cluster_id, org_id }"
NULLUS_CLU_040_030,관리자/데브옵스,클러스터,CLU,Organization 접근,040,접근 Organization 수정,030,클러스터별 접근 가능 Organization 변경,"기능: 클러스터-조직 접근 수정
구현: PUT /api/v1/clusters/:id/org-access/:orgId, DELETE 후 재추가 또는 UPDATE
데이터/포맷: cluster_org_access UPDATE"
NULLUS_DSS_010_010,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 등록,010,DevSecOps Golden Path 템플릿 등록 (도구조합/버전/권장사례/필요리소스 정의 후 저장),"기능: Golden Path 템플릿 등록
구현: POST /api/v1/templates, YAML 또는 JSON body, templates 테이블 + template_tools 저장
데이터/포맷: JSON { name, tools: [{ id, version }], resources, description } → templates, template_tools INSERT"
NULLUS_DSS_010_040,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 수정,040,DevSecOps Golden Path 템플릿 정보 수정,"기능: 템플릿 정보 수정
구현: PUT /api/v1/templates/:id, templates/template_tools UPDATE
데이터/포맷: JSON 동일 구조 → UPDATE"
NULLUS_DSS_010_050,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 삭제,050,DevSecOps Golden Path 템플릿 삭제,"기능: 템플릿 삭제(소프트 또는 하드)
구현: DELETE /api/v1/templates/:id, 참조 스택 없을 때만 허용
데이터/포맷: templates DELETE 또는 status=deleted"
NULLUS_DSS_060_010,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,호환성 매트릭스 조회,010,DevSecOps OSS 호환성 매트릭스 조회 (compatibility-matrix.yaml),"기능: compatibility-matrix.yaml 기반 매트릭스 조회
구현: GET /api/v1/compatibility, YAML 파싱 후 JSON 변환 또는 DB 캐시
데이터/포맷: YAML { tools: [{ name, versions: [{ helm_version, app_version }] }], validated_combinations } → JSON"
NULLUS_DSS_060_020,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,호환성 매트릭스 등록,020,DevSecOps OSS 검증된 버전 조합 등록,"기능: 검증된 버전 조합 등록
구현: POST /api/v1/compatibility, compatibility_matrix 테이블 INSERT
데이터/포맷: JSON { tool_combination, status: validated } → compatibility_matrix INSERT"
NULLUS_DSS_060_030,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,Chart/App 버전 분리,030,DevSecOps OSS helm_version과 app_version 필드 분리 관리,"기능: Helm chart 버전과 앱 버전 분리 저장
구현: compatibility 스키마에 helm_version, app_version 별도 컬럼
데이터/포맷: { tool_id, helm_version, app_version } (Narwhal VERSIONS.md 참고)"
NULLUS_ADM_010_010,관리자,관리,ADM,조직 관리,010,조직 정보 등록,010,Admin Organization 기본정보 등록 화면 제공,"기능: 조직 등록 폼 UI
구현: React 폼 (name, slug, domain), POST /api/v1/orgs 호출, 유효성 검사
데이터/포맷: 폼 state → JSON { name, slug, domain }"
NULLUS_ADM_010_020,관리자,관리,ADM,조직 관리,010,조직 정보 수정,020,Admin Organization 기본정보 수정 화면 제공,"기능: 조직 수정 폼 UI
구현: 기존 데이터 로드 후 PUT /api/v1/orgs/:id 호출
데이터/포맷: 폼 state → JSON { name?, slug?, domain? }"
NULLUS_ADM_010_030,관리자,관리,ADM,조직 관리,010,클러스터 접근 범위 설정,030,Admin Organization 클러스터 접근 범위 설정 화면 제공,"기능: 조직별 클러스터 접근 설정 UI
구현: 체크박스/멀티셀렉트로 클러스터 목록에서 선택, POST/DELETE cluster-access
데이터/포맷: 선택 cluster_id[] → API 호출"
NULLUS_ADM_020_010,관리자,관리,ADM,사용자 관리,020,역할 기반 접근제어,010,RBAC Role 정의 (관리자/데브옵스/개발자),"기능: RBAC Role 정의 및 미들웨어 적용
구현: roles 테이블, route별 role 매핑, JWT/session에서 role 추출 후 검증
데이터/포맷: roles { id, name: admin|devops|developer }, route_roles { path, method, allowed_roles }"
NULLUS_ADM_020_020,관리자,관리,ADM,사용자 관리,020,대메뉴 권한 설정,020,RBAC 대메뉴 단위 접근 권한 매핑,"기능: 메뉴-역할 매핑으로 UI 메뉴 표시 제어
구현: menu_permissions { menu_id, role }, 프론트엔드에서 role별 메뉴 필터링
데이터/포맷: JSON { menus: [{ id, roles: [admin,devops] }] }"
NULLUS_ADM_020_030,관리자,관리,ADM,사용자 관리,020,사용자 목록 조회,030,Admin 사용자 목록 조회 화면,"기능: 사용자 목록 테이블 UI
구현: GET /api/v1/users, 테이블 렌더링, 페이지네이션
데이터/포맷: JSON { items: [{ id, email, role, orgs }], total }"
NULLUS_ADM_020_040,관리자,관리,ADM,사용자 관리,020,역할 부여,040,Admin 사용자 역할 부여 (관리자/데브옵스/개발자),"기능: 사용자에게 역할 부여 UI
구현: 드롭다운 선택 후 PUT /api/v1/orgs/:orgId/members/:userId { role }
데이터/포맷: { role: admin|devops|developer }"
NULLUS_ADM_020_050,관리자,관리,ADM,사용자 관리,020,역할 변경,050,Admin 사용자 역할 변경,"기능: 기존 역할 변경
구현: PUT /api/v1/orgs/:orgId/members/:userId { role }, 동일 API 활용
데이터/포맷: 동일"
NULLUS_ADM_020_060,관리자,관리,ADM,사용자 관리,020,사용자 비활성화,060,Admin 사용자 비활성화,"기능: 사용자 비활성화(접근 차단)
구현: PUT /api/v1/users/:id/status { active: false }
데이터/포맷: users.is_active=false"
NULLUS_ADM_020_070,관리자,관리,ADM,사용자 관리,020,Keycloak OIDC 연동,070,Keycloak OIDC 연동 및 OSS별 권한 매핑,"기능: Keycloak OIDC SSO 및 groups→role 매핑
구현: Narwhal 11-keycloak.sh 참고, Keycloak realm/client 생성, OIDC provider 연동, groups claim → role 매핑
데이터/포맷: OIDC config { issuer, client_id }; groups→role 매핑 YAML/DB"
NULLUS_ADM_030_010,관리자/데브옵스,관리,ADM,클러스터 관리,030,클러스터 등록 화면,010,Admin 클러스터 등록 모달/화면 제공,"기능: 클러스터 등록 모달/폼 UI
구현: kubeconfig 파일 업로드, 이름 입력, 타입 선택, POST /api/v1/clusters
데이터/포맷: FormData { file, name, type }"
NULLUS_ADM_030_020,관리자/데브옵스,관리,ADM,클러스터 관리,030,클러스터 수정 화면,020,Admin 클러스터 수정 모달/화면 제공,"기능: 클러스터 정보 수정 폼 UI
구현: 기존 데이터 로드, PUT /api/v1/clusters/:id
데이터/포맷: { name?, type?, kubeconfig? }"
NULLUS_ADM_030_040,관리자/데브옵스,관리,ADM,클러스터 관리,030,Organization 접근 설정,040,Admin 클러스터별 Organization 접근 범위 설정 화면,"기능: 클러스터에 접근 가능한 조직 선택 UI
구현: 멀티셀렉트, POST/DELETE cluster-org-access
데이터/포맷: org_id[] 선택 → API 호출"
NULLUS_ORG_030_020,관리자/데브옵스/개발자,조직,ORG,멤버 관리,030,초대 링크 수락,020,초대 수락 시 Organization 멤버로 등록 및 기본 역할 부여,"기능: 초대 링크 클릭 시 멤버 가입 완료
구현: GET /invite?token=xxx → POST /api/v1/invites/accept { token }, org_members INSERT, token 무효화
데이터/포맷: invite_links.token 검증 → org_members INSERT | 다국어: en, ko (초대 메일/화면 텍스트)"
NULLUS_ADM_030_030,관리자/데브옵스/개발자,관리,ADM,클러스터 관리,030,연결 상태 카드 표시,030,Admin 클러스터 연결 상태 카드 표시 (연결됨/대기/미연결),"기능: 클러스터 카드에 연결 상태 뱃지 표시
구현: clusters.status (connected|pending|unreachable|auth_failed) → 뱃지 색상/텍스트 매핑
데이터/포맷: clusters { status } → UI 뱃지 | 다국어: en, ko (상태 라벨)"
NULLUS_USR_010_010,관리자/데브옵스/개발자,사용자,USR,홈/대시보드,010,역할별 요약 조회,010,Home 대시보드 역할별 요약 정보 표시,"기능: 역할별 요약 카드(스택 수, 파이프라인 수 등) 표시
구현: GET /api/v1/dashboard/summary, role 기반 데이터 필터링, 카드 UI
데이터/포맷: JSON { stacks_count, pipelines_count, clusters_count } | 다국어: en, ko (대시보드 라벨)"
NULLUS_USR_020_010,관리자/데브옵스/개발자,사용자,USR,인증,020,로그인,010,사용자 로그인 (세션 기반 또는 Keycloak OIDC),"기능: 로그인 폼 또는 OIDC 리다이렉트
구현: POST /api/v1/auth/login { email, password } → session/JWT; 또는 /auth/oidc → Keycloak redirect
데이터/포맷: session cookie 또는 JWT; OIDC state/code | 다국어: en, ko (로그인 폼)"
NULLUS_USR_020_020,관리자/데브옵스/개발자,사용자,USR,인증,020,로그아웃,020,사용자 로그아웃,"기능: 세션/토큰 무효화 후 로그인 페이지로 이동
구현: POST /api/v1/auth/logout, session destroy 또는 token blacklist; OIDC 시 Keycloak logout redirect
데이터/포맷: - | 다국어: en, ko"
NULLUS_USR_030_010,관리자/데브옵스/개발자,사용자,USR,다국어,030,UI 언어 전환,010,다국어(영어/한국어/중국어) 지원 및 언어 선택 영속화,"기능: UI 언어 en/ko/cn 전환, 선택값 localStorage 영속화
구현: i18next + react-i18next, locale 파일 (en.json, ko.json), 언어 선택 드롭다운, localStorage.setItem('locale','ko')
데이터/포맷: JSON { key: value } per locale; namespace: common, org, cluster, stack, cicd, obs, admin"
NULLUS_CLU_010_010,데브옵스,클러스터,CLU,클러스터 관리,010,클러스터 등록,010,Kubernetes 클러스터 등록 (파이프라인/타겟 타입 선택 후 DB 저장),"기능: kubeconfig 업로드 후 클러스터 등록
구현: POST /api/v1/clusters, 파일 파싱→AES-256-GCM 암호화 저장, type 선택
데이터/포맷: FormData { kubeconfig_file, name, type: pipeline|target } → clusters INSERT"
NULLUS_CLU_010_020,데브옵스/개발자,클러스터,CLU,클러스터 관리,010,클러스터 목록 조회,020,Kubernetes 클러스터 목록 조회,"기능: 접근 가능 클러스터 목록 조회
구현: GET /api/v1/clusters, org 접근권한 필터
데이터/포맷: JSON [{ id, name, type, status, created_at }]"
NULLUS_CLU_010_030,데브옵스/개발자,클러스터,CLU,클러스터 관리,010,클러스터 상세 조회,030,Kubernetes 클러스터 상세 정보 조회,"기능: 단일 클러스터 상세 조회
구현: GET /api/v1/clusters/:id, kubeconfig 제외
데이터/포맷: JSON { id, name, type, status, endpoint, namespace, auth_type }"
NULLUS_CLU_010_040,데브옵스,클러스터,CLU,클러스터 관리,010,클러스터 수정,040,Kubernetes 클러스터 정보 수정,"기능: 클러스터 정보 수정
구현: PUT /api/v1/clusters/:id
데이터/포맷: JSON { name?, type?, kubeconfig? }"
NULLUS_CLU_010_050,데브옵스,클러스터,CLU,클러스터 관리,010,클러스터 삭제,050,Kubernetes 클러스터 삭제 (등록 해제),"기능: 클러스터 등록 해제
구현: DELETE /api/v1/clusters/:id, 배포된 리소스 확인 후 삭제
데이터/포맷: clusters DELETE"
NULLUS_CLU_020_010,데브옵스,클러스터,CLU,Kubeconfig 관리,020,Kubeconfig 업로드,010,Kubeconfig 파일 업로드 및 context 파싱,"기능: kubeconfig 파일 업로드 및 파싱
구현: multipart/form-data 수신, yaml 파싱, current-context/contexts 추출
데이터/포맷: binary file → 파싱 후 { current_context, contexts[] }"
NULLUS_CLU_020_020,데브옵스,클러스터,CLU,Kubeconfig 관리,020,Kubeconfig 유효성 검증,020,Kubeconfig 연결 테스트 및 유효성 검증,"기능: kubectl version으로 연결 테스트
구현: POST /api/v1/clusters/:id/verify, 복호화 후 kubectl version --kubeconfig=... 실행
데이터/포맷: - → { ok: bool, message }"
NULLUS_CLU_020_030,데브옵스,클러스터,CLU,Kubeconfig 관리,020,Kubeconfig 저장,030,Kubeconfig AES-256-GCM 암호화 후 DB 저장,"기능: kubeconfig 암호화 저장
구현: AES-256-GCM, key from env, clusters.kubeconfig_encrypted 컬럼
데이터/포맷: BLOB encrypted"
NULLUS_CLU_020_040,데브옵스,클러스터,CLU,Kubeconfig 관리,020,Kubeconfig 갱신,040,Kubeconfig 파일 재업로드 및 DB 갱신,"기능: 기존 kubeconfig 교체
구현: PUT /api/v1/clusters/:id/kubeconfig, 동일 암호화 로직
데이터/포맷: FormData { file }"
NULLUS_CLU_030_010,데브옵스,클러스터,CLU,클러스터 메타정보,030,메타정보 저장,010,클러스터 이름/네임스페이스/엔드포인트/인증방식 DB 저장,"기능: 클러스터 메타정보 저장
구현: clusters { name, namespace, endpoint, auth_type } INSERT/UPDATE
데이터/포맷: clusters 테이블"
NULLUS_CLU_030_020,데브옵스/개발자,클러스터,CLU,클러스터 메타정보,030,연결 상태 표시,020,클러스터 연결 상태 표시 (연결됨/대기/미설정/연결실패),"기능: 상태별 뱃지/아이콘 표시
구현: clusters.status → connected|pending|unreachable|auth_failed 매핑
데이터/포맷: status enum"
NULLUS_CLU_030_030,데브옵스,클러스터,CLU,클러스터 메타정보,030,연결 검증,030,kubectl version 기반 클러스터 연결 검증,"기능: 주기적 또는 수동 연결 검증
구현: kubectl version --request-timeout=5s, 결과에 따라 status 업데이트
데이터/포맷: - → clusters.status UPDATE"
NULLUS_CLU_030_040,데브옵스/개발자,클러스터,CLU,클러스터 메타정보,030,네임스페이스 목록 조회,040,Kubernetes 클러스터 네임스페이스 목록 조회,"기능: K8s 네임스페이스 목록 조회
구현: GET /api/v1/clusters/:id/namespaces, kubectl get ns 실행 또는 캐시
데이터/포맷: JSON [{ name }]"
NULLUS_CLU_040_010,데브옵스,클러스터,CLU,클러스터 선택,040,설정 단계 선택,010,DevSecOps 스택 설정 단계에서 대상 클러스터 선택,"기능: Install 화면에서 클러스터 선택 드롭다운
구현: GET /api/v1/clusters → select, stack_config.cluster_id 저장
데이터/포맷: cluster_id in stack_config"
NULLUS_DSS_010_020,데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 목록 조회,020,DevSecOps Golden Path 템플릿 목록 조회,"기능: 템플릿 카드 목록 조회
구현: GET /api/v1/templates, 카드 UI
데이터/포맷: JSON [{ id, name, tools_count, est_time, resources }]"
NULLUS_DSS_010_030,데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 상세 조회,030,DevSecOps Golden Path 템플릿 상세 정보 조회 (도구목록/설치시간/권장사례/리소스),"기능: 템플릿 상세 모달/페이지
구현: GET /api/v1/templates/:id, tools/steps/resources 조인
데이터/포맷: JSON { tools[], est_time, use_cases, resources }"
NULLUS_DSS_010_060,데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 적용,060,DevSecOps Golden Path 템플릿 선택 후 Install 화면에 프리셋 적용,"기능: 템플릿 선택 시 Install 폼에 값 자동 채움
구현: template.tools → Install state 병합, API 또는 클라이언트 병합
데이터/포맷: template JSON → form state"
NULLUS_DSS_020_010,데브옵스,DevSecOps 스택,DSS,노코드 설정 UI,020,Artifacts 선택,010,DevSecOps 스택 Artifacts 탭 도구 선택 (Package/Source/Container Registry/Storage Backend),"기능: Artifacts 탭 체크박스/라디오 선택
구현: 5단계 워크플로우 1단계, tools state 관리
데이터/포맷: { artifacts: { package_registry, source_repo, container_registry, storage } }"
NULLUS_DSS_020_020,데브옵스,DevSecOps 스택,DSS,노코드 설정 UI,020,Pipeline Tools 선택,020,DevSecOps 스택 Pipeline Tools 탭 도구 선택 (CI/CD 플랫폼/CD 도구),"기능: Pipeline Tools 탭 선택
구현: 2단계, ci_platform, cd_tool 선택
데이터/포맷: { pipeline: { ci_platform, cd_tool } }
구현 상태: O | message: Stack Install 탭 명칭을 Pipeline에서 CI/CD로 변경하고 CI/CD Platform/CD Tool 선택 UX를 유지"
